Index,캐릭터 이름,대사,선택지,선택지1 다음,선택지2,선택지2 다음,선택지3,선택지3 다음,스킵 라인
1,선비,“잠깐' 가만 보니...”,,,,,,,
2,나레이션,머리에 무언가 스쳐 지나간다.,,,,,,,
3,나레이션,아이템창을 확인해 볼까?,,,,,,,
4,선택지,,확인한다,5,확인하지 않는다,9999,,,
5,나레이션,모은 물건들을 보니' 머리에 무언가가 스쳐 지나간다.,,,,,,,
6,선비,“잠깐' 가만 보니 이건... 전부 제사상에 올라가는 것들이잖아?”,,,,,,,
7,선비,“그렇다면' 산꼭대기에 있는 신목 앞으로 가 제를 올려봐야겠어!”,,,,,,,
8,나레이션,제를 지내니 안개가 걷히기 시작한다.,,,,,,,
9,나레이션,으스스한 기운이 사라지고' 맑은 달빛이 시야를 밝혀주고 있다.,,,,,,,
10,선비,“다들 극락왕생하시길...”,,,,,,,
11,나레이션,그때' 호랑이의 발소리가 들려온다.,,,,,,,
12,선비,“마을이다! 저기' 저곳으로 가면 돼!”,,,,,,,
13,선비,“앗' 이런...!”,,,,,,,
14,선비,“이젠 끝인가...”,,,,,,,
15,나레이션,그때' 갑자기 화살 날아오는 소리가 들리더니 호랑이의 몸에서 힘이 축 빠진다.,,,,,,,
16,나레이션,호랑이가 죽었다. 죽은 호랑이의 사체가 몸을 무겁게 짓누르고 있다.,,,,,,,
17,나레이션,고개를 내밀어 살펴보니 한 남자가 활을 들고 서있다.,,,,,,,
18,나레이션,착호갑사다.,,,,,,,
19,선비,“구해주셔서 감사합니다. 이 은혜를 어찌 갚아야 할지......”,,,,,,,
20,나레이션,감사 인사를 전하지만' 착호갑사는 힐끗 쳐다보고는 아무 말 없이 자리를 옮긴다.,,,,,,,
