Index,캐릭터 이름,대사,선택지,선택지1 다음,선택지2,선택지2 다음,선택지3,선택지3 다음,스킵 라인
1,나레이션,안개 틈 사이로 길이 보인다.,,,,,,,
2,선비,“저건...! 길이다! 길이 틀림없어!”,,,,,,,
3,나레이션,조용한 마을을 발견했다.,,,,,,,
4,나레이션,어느새부턴가는 호랑이 울음소리도 들리지 않는 것 같다.,,,,,,,
5,나레이션,동네에는 개미 한 마리 돌아다니지 않는다.,,,,,,,
6,나레이션,그때' 마침 한 사람이 지나가고 있다.,,,,,,,
7,나레이션,말을 걸어보자.,말을 건다,8,말을 걸지 않는다,9999,,,
8,선비,“이보' 지나가는 나그네인데' 하루만 묵고 가게 해주시오.”,,,,,,,
9,나레이션,돌아본 이의 얼굴이 사람이라곤 할 수 없을 정도로 창백하다.,,,,,,,
10,나레이션,놀라서 뒷걸음질 치던 와중' 등 뒤에 무언가 닿는다.,,,,,,,
11,나레이션,창귀다.,,,,,,,
12,나레이션,창귀의 마을에 온 것이다.,,,,,,,
13,나레이션,수많은 창귀에게 둘러싸였다.,,,,,,,
14,선비,“으' 으아아아아악!!!”,,,,,,,
