Index,캐릭터 이름,대사,선택지,선택지1 다음,선택지1 이벤트,선택지2,선택지2 다음,선택지2 이벤트,선택지3,선택지3 다음,선택지3 이벤트,스킵 라인,event
1,나레이션,튜토리얼을 보시겠습니까?,,,,,,,,,,,
2,선택지,,본다,3,,보지 않는다,9999,,,,,,
3,선비,“오늘은 날이 맑군. 열심히 걸어가야겠어.”,,,,,,,,,,,
4,나레이션,스틱을 눌러 앞으로 걸어가시오.,,,,,,,,,,,
5,선비,“이런' 할머니께서 주신 방울이 떨어졌잖아?”,,,,,,,,,,,
6,나레이션,손을 뻗어 아이템을 주우시오.,,,,,,,,,,,
7,선비,“이번에는 떨어뜨리지 말아야지! 꼭 몸에 지니고 있으라고 하셨으니...”,,,,,,,,,,,
8,나레이션,아이템 창을 열어 제대로 들어가 있는지 확인하시오.,,,,,,,,,,,
9,선비,“시간이 꽤 지났으니 점심을 먹어야겠군. 마침 떡 두 개가 남았으니...”,,,,,,,,,,,
10,나레이션,‘떡’ 아이템을 사용해 허기를 채워보시오.,,,,,,,,,,,
11,선비,“먹고 나니 잠이 오는 군... 인적 없는 곳에 잠시 누워 자야겠어.”,,,,,,,,,,,
12,나레이션,바위 뒤에 숨고' 잠을 자시오.,,,,,,,,,,,
13,선비,“이런' 벌써 시간이 이렇게나 지나다니! 서둘러 가야겠어.”,,,,,,,,,,,
14,나레이션,스틱을 눌러 달려보시오.,,,,,,,16,,,,
15,END,,,,,,,,,,,,
